id,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,x1,x2
1,101.0071204,96.96429766,94.05667093,86.71418604,80.81943163,81.82470636,76.65747419,73.96971308,71.82458695,68.82912227,0,1.205965822,1.817933021,2.905951489,3.900506805,5.039923029,5.875074614,7.111944464,8.169577116,9,0.300612226,0.240952045
2,105.7381063,102.3804987,98.54349519,91.80196239,86.3982781,85.40021632,84.89310049,83.72755036,82.49635528,84.24839891,0,0.81177069,2.037856519,3.15720058,4.090955434,5.04826807,6.058397815,6.750857918,8.220050749,9,-0.839483509,0.241137042
3,102.7775976,99.31338113,94.23974192,91.06023312,86.54685829,80.99083643,84.24401634,82.89061891,81.47156266,80.19458756,0,1.086242127,2.162427604,3.005196537,4.010104978,4.883055782,5.974943644,6.831204668,7.883981917,9,-0.016930147,-0.647498784
4,99.46621132,93.75259665,90.86624923,86.17158585,78.94059003,77.15102714,76.34658041,72.30706756,72.04631919,66.69497168,0,1.211034423,1.765593559,2.803437274,4.182177561,4.903274134,5.903049741,6.920444903,8.057636123,9,-0.416170972,1.30178851
5,93.75272945,88.69974401,83.77149011,77.00520878,70.95121148,68.32645367,70.55354666,67.52686008,67.63753925,66.18988435,0,1.026503189,2.127641749,3.190064228,4.194874507,4.841469531,5.786799809,6.78424717,8.243575024,9,0.083683131,-0.06807673
6,98.57761983,90.51749783,85.15210797,80.14222442,73.64384747,70.12358537,69.34995329,68.44625704,68.96669296,68.00642758,0,1.14546529,1.783242057,2.918403125,4.190378057,4.848236155,5.974495122,7.191487745,8.05609581,9,-2.050100563,0.667071764
7,102.5470616,94.5544256,87.16072841,81.10901415,76.21111093,72.04038555,72.45934076,73.54945189,71.96195957,69.63564612,0,1.055996521,2.155248805,3.205356993,4.105987423,5.110937975,6.244898785,7.094367805,8.060797573,9,-2.587845692,-0.18125777
8,99.98335962,96.74257445,94.66614613,87.97500799,83.85869291,80.29434239,79.50388923,78.84933499,75.48915441,72.59647291,0,1.220291592,1.789187919,3.059221875,4.030892778,4.965626048,5.788758302,7.076912701,8.068174076,9,0.61167986,0.427334816
9,105.3275747,104.0321407,101.6331303,95.35124247,95.29029732,90.93820824,88.31439789,85.91861563,83.26104752,79.88944303,0,1.026514436,2.101134989,3.098077882,4.010413177,4.947806776,5.961939895,7.217229032,7.870855771,9,0.885313806,0.278990339
10,100.3343117,96.33331383,94.32227194,89.32401288,85.14138244,82.70179306,83.56032356,82.02703684,82.99512643,79.9400235,0,1.128250075,1.891224212,2.971426826,4.157821597,5.124782045,6.143265936,7.057466476,8.173483182,9,0.609128927,-0.33112784
